chr	start	end	pvalue	qvalue
chr21	24500000	24550000		
chr21	24550000	24600000		
chr21	24600000	24650000	8.762177720660321e-11	1.7173868332494228e-09
chr21	24650000	24700000	1.4207106516019808e-05	5.25394882479223e-05
chr21	24700000	24750000	0.000600635194484068	0.0014715562264859666
chr21	24750000	24800000	0.00011666149851486222	0.0003412784135658656
chr21	24800000	24850000	1.9451009808170543e-07	1.155272097697402e-06
chr21	24850000	24900000	2.682864603561977e-08	1.8132464217177502e-07
chr21	24900000	24950000	3.171095514615265e-05	0.00011098834301153427
chr21	24950000	25000000	6.335934209905675e-05	0.00020029727502282455
chr21	25000000	25050000	4.161774964336191e-09	3.5465560565647543e-08
chr21	25050000	25100000	9.83408284374198e-12	3.2124670622890466e-10
chr21	25100000	25150000	1.520447051817729e-09	1.5949558710138346e-08
chr21	25150000	25200000	7.1443299127051e-11	1.7173868332494228e-09
chr21	25200000	25250000	3.44399625361171e-11	9.643189510112789e-10
chr21	25250000	25300000	7.647536241826217e-12	2.9978342067958766e-10
chr21	25300000	25350000	6.024411440398994e-10	7.871897615454685e-09
chr21	25350000	25400000	3.068740903882928e-09	2.8641581769573996e-08
chr21	25400000	25450000	2.2602244280489985e-09	2.2150199394880186e-08
chr21	25450000	25500000	5.477329508453039e-05	0.0001789260972761326
chr21	25500000	25550000	0.0015262399292100745	0.003361157596912074
chr21	25550000	25600000	0.0006404564063676513	0.0015497463660254277
chr21	25600000	25650000	1.7341712575405113e-06	7.724944692680459e-06
chr21	25650000	25700000	9.512301344607983e-10	1.1131781858928357e-08
chr21	25700000	25750000	8.120782785055493e-11	1.7173868332494228e-09
chr21	25750000	25800000	1.4065638727590016e-07	8.615203720648886e-07
chr21	25800000	25850000	0.002122557115686748	0.0045219695073326375
chr21	25850000	25900000	0.004926198322700366	0.009752877487366382
chr21	25900000	25950000	0.00017041112672996824	0.00047043071604329256
chr21	25950000	26000000	1.3032727983791977e-06	6.2302797190810425e-06
chr21	26000000	26050000	6.627453351916037e-06	2.763789057394773e-05
chr21	26050000	26100000	1.2312432013845859e-06	6.033091686784471e-06
chr21	26100000	26150000	1.0741842923068908e-07	6.791616815875825e-07
chr21	26150000	26200000	3.7893176684058943e-07	2.1220178943073007e-06
chr21	26200000	26250000	0.0002928095617529879	0.0007652089880478085
chr21	26250000	26300000	0.002399529482564436	0.005003274240240739
chr21	26300000	26350000	0.0011066071181008344	0.002522034827299576
chr21	26350000	26400000	2.091227954640058e-06	9.108459535765585e-06
chr21	26400000	26450000	4.0206339377587375e-10	6.061878860005481e-09
chr21	26450000	26500000	4.2145512122503664e-07	2.2945889933363104e-06
chr21	26500000	26550000	0.001822851375956702	0.003926141425137512
chr21	26550000	26600000	0.11347020459875964	0.17792128081085512
chr21	26600000	26650000	0.5474319107231063	0.6834181815396742
chr21	26650000	26700000	0.7818770209837271	0.9005442019875333
chr21	26700000	26750000	0.6551455390801713	0.7879190687305085
chr21	26750000	26800000	0.21070706895975874	0.3014495293146913
chr21	26800000	26850000	0.0009636773984772556	0.0022485805964469296
chr21	26850000	26900000	0.008199099463712018	0.015911123711757978
chr21	26900000	26950000	0.5684280402249355	0.7051385815448568
